depot	gene_set	model	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p	cibersort_covariates	peri_vs_pre_p_fmt	post_vs_pre_p_fmt	post_vs_peri_p_fmt
subcutaneous	HALLMARK_ADIPOGENESIS	base	233	-0.22838436152594152	0.004448118047278523	-0.2741427185255198	7.714218102454499e-4	-0.04575835699957828	0.5662138318678676		0.0044	7.7e-04	0.5662
subcutaneous	HALLMARK_ADIPOGENESIS	adj_cibersort	233	-0.13695787854533284	0.06110176443362217	-0.18019433100780205	0.01555420592935596	-0.04323645246246921	0.5466920716978239	adipocyte,aspc,macrophage,endothelial,t_cell	0.0611	0.0156	0.5467
subcutaneous	HALLMARK_GLYCOLYSIS	base	233	-0.04732788097288592	0.21899204300570613	-0.03837260846333026	0.32430118765997373	0.008955272509555662	0.816160677626549		0.2190	0.3243	0.8162
subcutaneous	HALLMARK_GLYCOLYSIS	adj_cibersort	233	-0.017708769358768084	0.6174036409296583	0.004877510023159155	0.8922328887173837	0.02258627938192724	0.5175623160057834	adipocyte,aspc,macrophage,endothelial,t_cell	0.6174	0.8922	0.5176
subcutaneous	HALLMARK_HYPOXIA	base	233	0.04895065792218571	0.22682050378066324	0.03829056678656655	0.34976868175280784	-0.010660091135619158	0.7925029603650702		0.2268	0.3498	0.7925
subcutaneous	HALLMARK_HYPOXIA	adj_cibersort	233	0.065914699822305	0.10653317477705099	0.06214508624033357	0.1339804111321092	-0.0037696135819714274	0.9250766805125186	adipocyte,aspc,macrophage,endothelial,t_cell	0.1065	0.1340	0.9251
subcutaneous	HALLMARK_INFLAMMATORY_RESPONSE	base	233	0.12123594089648163	0.035558329791041614	0.12000028530448797	0.03970248491209193	-0.0012356555919936507	0.9828597669622487		0.0356	0.0397	0.9829
subcutaneous	HALLMARK_INFLAMMATORY_RESPONSE	adj_cibersort	233	0.15534960238300832	0.005194206893979704	0.16833540678411882	0.002904658519794124	0.012985804401110496	0.81079259622204	adipocyte,aspc,macrophage,endothelial,t_cell	0.0052	0.0029	0.8108
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	base	233	-0.21491594922109225	0.02556513800945998	-0.28723985469870195	0.0033066249278868457	-0.0723239054776097	0.45115480860718993		0.0256	0.0033	0.4512
subcutaneous	HALLMARK_OXIDATIVE_PHOSPHORYLATION	adj_cibersort	233	-0.12011487392136119	0.18652994756629188	-0.1804670071421079	0.05127102702909152	-0.0603521332207467	0.4995433270978391	adipocyte,aspc,macrophage,endothelial,t_cell	0.1865	0.0513	0.4995
